id,name,attribute,level,type,atk,def,passcode
10014,Tour Bus From the Underworld,DARK,3,Fiend,1000,1000,52823314
10015,White Dragon Ninja,LIGHT,7,Dragon,2700,1200,99212922
10016,Interplanetarypurplythorny Dragon,DARK,5,Dragon,2200,1100,25206027
10017,Inzektor Hopper,DARK,4,Insect,1700,1400,52601736
10018,Evoltile Najasho,FIRE,2,Reptile,100,2000,88095331
10019,Wind-Up Shark,WATER,4,Fish,1500,1300,25484449
10024,Wattaildragon,LIGHT,6,Dragon,2500,1000,87151205
10025,Hieratic Seal of the Sun Dragon Overlord,LIGHT,8,Dragon,0,0,13140300
10026,Overlay Owl,WIND,4,Winged Beast,800,1600,59644958
10027,Tasuke Knight,LIGHT,4,Warrior,1700,100,86039057
10028,Gagaga Gardna,EARTH,4,Warrior,1500,2000,12423762
10029,Cardcar D,EARTH,2,Machine,800,400,45812361
10030,Overlay Eater,LIGHT,2,Reptile,300,800,81816475
10031,Hammer Shark,WATER,4,Fish,1700,1500,17201174
10032,Hammer Bounzer,EARTH,6,Warrior,2300,2000,44790889
10033,Blade Bounzer,EARTH,4,Warrior,1800,1400,70194827
10034,Phantom Bounzer,DARK,6,Warrior,2400,1200,17189532
10035,Morpho Butterspy,DARK,4,Warrior,1200,1600,43573231
10036,Swallowtail Butterspy,DARK,4,Warrior,1800,1200,79972330
10037,Moonlit Papillon,LIGHT,4,Insect,1200,1600,16366944
10038,Jumbo Drill,EARTH,4,Machine,1800,100,42851643
10039,Rocket Arrow Express,EARTH,10,Machine,5000,0,79850798
10040,Cameraclops,LIGHT,4,Warrior,1400,1600,5244497
10041,Hieratic Dragon of Nuit,LIGHT,4,Dragon,1700,900,41639001
10042,Hieratic Dragon of Gebeb,LIGHT,4,Dragon,1800,400,78033100
10043,Hieratic Dragon of Eset,LIGHT,5,Dragon,1900,1200,4022819
10044,Hieratic Dragon of Nebthet,LIGHT,5,Dragon,2000,1600,31516413
10045,Hieratic Dragon of Tefnuit,LIGHT,6,Dragon,2100,1400,77901552
10046,Hieratic Dragon of Su,LIGHT,6,Dragon,2200,1000,3300267
10047,Hieratic Dragon of Asar,LIGHT,7,Dragon,2600,700,30794966
10048,Hieratic Dragon of Sutekh,LIGHT,8,Dragon,2800,2000,66789970
10049,Evoltile Lagosucho,FIRE,3,Reptile,1200,500,3283679
10050,Evolsaur Darwino,FIRE,5,Dinosaur,2200,700,39672388
10051,Inzektor Firefly,DARK,1,Insect,100,100,66066482
10052,Inzektor Ladybug,DARK,2,Insect,500,100,2461031
10053,Inzektor Earwig,DARK,4,Insect,1000,1000,38450736
10054,Inzektor Giga-Cricket,DARK,5,Insect,2000,1300,65844845
10055,Lightray Sorcerer,LIGHT,6,Spellcaster,2300,2000,91349449
10056,Lightray Daedalus,LIGHT,7,Sea Serpent,2600,1500,38737148
10057,Lightray Gearfried,LIGHT,8,Warrior,2800,2200,4722253
10058,Lightray Diabolos,LIGHT,7,Dragon,2800,1000,30126992
10059,Lady of D.,DARK,4,Spellcaster,1500,1100,67511500
10060,Absorbing Jar,EARTH,3,Rock,600,500,3900605
