id,name,attribute,level,type,atk,def
86988864,3-Hump Lacooda,EARTH,3,Beast,500,1500
11714098,"30,000-Year White Turtle",WATER,5,Aqua,1250,2100
83994646,4-Starred Ladybug of Doom,WIND,3,Insect,800,1200
23771716,7 Colored Fish,WATER,4,Fish,1800,800
14261867,8-Claws Scorpion,DARK,2,Insect,300,200
24140059,A Cat of Ill Omen,DARK,2,Beast,500,300
51351302,A Man with Wdjat,DARK,4,Spellcaster,1600,1600
30012506,A-Assault Core,LIGHT,4,Machine,1900,200
13026402,A-Team: Trap Disposal Unit,FIRE,2,Machine,300,400
96146814,A/D Changer,LIGHT,1,Warrior,100,100
12694768,Abaki,FIRE,4,Fiend,1700,1100
89718302,Abare Ushioni,EARTH,4,Beast-Warrior,1200,1200
1966438,Abominable Unchained Soul,DARK,8,Fiend,3000,1500
70832512,Absolute Crusader,EARTH,4,Warrior,1800,1200
27553701,Absolute King - Megaplunder,EARTH,6,Dinosaur,2000,1500
60990740,Absolute King Back Jack,DARK,1,Fiend,0,0
3900605,Absorbing Jar,EARTH,3,Rock,600,500
49771608,Absorbing Kid from the Sky,LIGHT,4,Fairy,1300,1000
67748760,Absorouter Dragon,DARK,7,Dragon,1200,2800
15308295,Abyss Actor - Comic Relief,DARK,3,Fiend,1000,2000
44179224,Abyss Actor - Curtain Raiser,DARK,4,Fiend,1100,1000
52240819,Abyss Actor - Evil Heel,DARK,8,Fiend,3000,2000
88412339,Abyss Actor - Extras,DARK,1,Fiend,100,100
99634927,Abyss Actor - Funky Comedian,DARK,1,Fiend,300,200
24907044,Abyss Actor - Leading Lady,DARK,4,Fiend,1500,1000
65477143,Abyss Actor - Liberty Dramatist,DARK,4,Fiend,1500,1500
78310590,Abyss Actor - Mellow Madonna,DARK,7,Fiend,1800,2500
51028231,Abyss Actor - Sassy Rookie,DARK,4,Fiend,1700,1000
25629622,Abyss Actor - Superstar,DARK,7,Fiend,2500,1800
39024589,Abyss Actor - Trendy Understudy,DARK,2,Fiend,700,700
7279373,Abyss Actor - Twinkle Little Star,DARK,4,Fiend,1000,1000
51391183,Abyss Actor - Wild Hope,DARK,4,Fiend,1600,1200
40387124,Abyss Flower,EARTH,2,Plant,750,400
61496006,Abyss Shark,WATER,5,Fish,1200,700
18318842,Abyss Soldier,WATER,4,Aqua,1800,1300
88409165,Abyss Warrior,WATER,4,Aqua,1800,1300
44223284,Abyssal Kingshark,WATER,4,Fish,1700,600
17080584,"Abyssrhine, the Atlantean Spirit",WATER,3,Aqua,1600,1600
98865920,Achacha Archer,FIRE,3,Warrior,1200,600
62476197,Achacha Chanbara,FIRE,3,Warrior,1400,400
15808381,Achichi @Ignister,FIRE,2,Cyberse,800,800
77568553,Acid Crawler,EARTH,3,Insect,900,700
21051977,Acorno,EARTH,1,Plant,200,400
47372349,Acrobat Monkey,EARTH,3,Machine,1000,1800
33656832,Acrobatic Magician,DARK,5,Spellcaster,800,2300
81555617,Ad Libitum of Despia,DARK,8,Fairy,1500,2000
11302671,Adamancipator Analyzer,EARTH,4,Rock,1500,700
10286023,Adamancipator Crystal - Dragite,WATER,4,Rock,0,2200
47897376,Adamancipator Crystal - Leonite,FIRE,4,Rock,0,2200
74891384,Adamancipator Crystal - Raptite,WIND,4,Rock,0,2200
85914562,Adamancipator Researcher,EARTH,2,Rock,100,2100
48519867,Adamancipator Seeker,EARTH,2,Rock,1200,1000
53828396,Adhesive Explosive,WIND,3,Machine,1000,1000
15464375,Adularia of the June Moon,WATER,5,Spellcaster,1000,1000
18847598,Advanced Crystal Beast Amber Mammoth,EARTH,4,Beast,1700,1600
19963185,Advanced Crystal Beast Amethyst Cat,EARTH,3,Beast,1200,400
45236142,Advanced Crystal Beast Cobalt Eagle,WIND,4,Winged Beast,1400,800
46358784,Advanced Crystal Beast Emerald Tortoise,WATER,3,Aqua,600,2000
83575471,Advanced Crystal Beast Ruby Carbuncle,LIGHT,3,Fairy,300,300
71620241,Advanced Crystal Beast Sapphire Pegasus,WIND,4,Beast,1800,1200
72843899,Advanced Crystal Beast Topaz Tiger,EARTH,4,Beast,1600,1000
83094004,Aeropixthree,WIND,1,Fairy,200,200
56804361,"Aether, the Empowering Dragon",LIGHT,6,Dragon,2300,1600
28865322,"Aether, the Evil Empowering Dragon",DARK,6,Dragon,2300,1600
16135253,Agido,EARTH,4,Fairy,1500,1300
62320425,Agido the Ancient Sentinel,EARTH,4,Fairy,1500,1300
13014905,Agnimal Candle,FIRE,4,Pyro,1700,0
86377375,"Ahrima, the Wicked Warden",DARK,4,Fiend,1700,0
96084564,Aileron,WIND,1,Machine,0,0
69023354,Air Armor Ninja,WIND,4,Warrior,1400,1400
8353769,Air Eater,WIND,6,Fiend,2100,1600
18036057,Airknight Parshath,LIGHT,5,Fairy,1900,1400
84747429,Airorca,WIND,3,Sea Serpent,1400,300
48202661,Aitsu,FIRE,5,Fairy,100,100
63378869,Aiza the Dragoness of Deranged Devotion,FIRE,4,Dragon,1500,0
38035986,Akakieisu,DARK,3,Spellcaster,1000,800
36904469,Akihiron,WATER,5,Aqua,1700,1400
38837163,"Akz, the Pumer",EARTH,6,Beast-Warrior,1500,1000
25795273,Al-Lumi'raj,WIND,3,Wyrm,1600,1000
37683547,Albaz the Ashen,DARK,4,Dragon,1800,0
25451383,Albion the Shrouded Dragon,DARK,8,Dragon,2500,2000
78121572,Alchemist of Black Spells,WIND,4,Spellcaster,1200,1800
17573739,"Alector, Sovereign of Birds",WIND,6,Winged Beast,2400,2000
98787535,"Aleirtt, the Ogdoadic Dark",DARK,8,Reptile,2000,800
86120751,Aleister the Invoker,DARK,4,Spellcaster,1000,1800
